new_feature_candidate,categorical_feature,numeric_feature,interaction_eta_squared,interaction_gain,action_hint,manual_final_action
QualityAreaInteraction,OverallQual,GrLivArea,0.7593,0.0752,strong interaction candidate,create and validate with CV
NeighborhoodAreaInteractionReview,Neighborhood,GrLivArea,0.6289,0.1917,strong interaction candidate,review before creating high-cardinality interaction
BasementQualitySizeInteraction,BsmtQual,TotalBsmtSF,0.5815,0.1165,strong interaction candidate,create and validate with CV
GarageTypeSizeInteractionReview,GarageType,GarageArea,0.536,0.1548,strong interaction candidate,review before creating high-cardinality interaction
GarageFinishSizeInteraction,GarageFinish,GarageArea,0.5286,0.1473,strong interaction candidate,create and validate with CV
BuildingClassAreaInteractionReview,MSSubClass,GrLivArea,0.612,0.1748,strong interaction candidate,review before creating high-cardinality interaction
KitchenQualityAreaInteraction,KitchenQual,GrLivArea,0.6622,0.2056,strong interaction candidate,create and validate with CV
ExteriorQualityAreaInteraction,ExterQual,GrLivArea,0.6643,0.1869,strong interaction candidate,create and validate with CV
