ridge_weight,forest_weight,oof_log_rmse
0.8000000000000003,0.19999999999999973,0.1108876938263649
0.7500000000000002,0.24999999999999978,0.11088814788024828
0.8500000000000003,0.1499999999999997,0.11103115861189797
0.7000000000000002,0.2999999999999998,0.11103251900793289
0.9000000000000004,0.09999999999999964,0.11131798579755307
0.6500000000000001,0.34999999999999987,0.11132024727305946
0.9500000000000004,0.0499999999999996,0.11174707146096038
0.6000000000000001,0.3999999999999999,0.11175022535716081
0.55,0.44999999999999996,0.11232081962205552
0.5,0.5,0.11302990052423027
