model_name,weight
Ridge_RobustScaler_baseline,0.02152
ElasticNet_robust_tuned,0.24965
ElasticNet_RobustScaler_baseline,0.04861
SVR_RBF_RobustScaler_master,0.26967
Ridge_RobustScaler_alpha10_master,0.03077
BayesianRidge_RobustScaler_master,0.01279
Ridge_RobustScaler_alpha30_master,0.01929
CatBoost_master_v2,0.3477
