model_family,candidate_id,scaler,alpha,l1_ratio,mean_log_rmse,std_log_rmse,fold_scores,fit_time_seconds,rank
ElasticNet,13,robust,0.0003,0.5,0.11159554909998175,0.007843734950570924,"[np.float64(0.10982), np.float64(0.11309), np.float64(0.11725), np.float64(0.12022), np.float64(0.0976)]",2.1849701404571533,45
ElasticNet,112,standard,0.003,0.7,0.11164447537809355,0.0074979032575699725,"[np.float64(0.1085), np.float64(0.11356), np.float64(0.11775), np.float64(0.11965), np.float64(0.09876)]",0.33347082138061523,46
ElasticNet,117,robust,0.005,0.15,0.11164681013013614,0.008431311891226777,"[np.float64(0.11065), np.float64(0.10977), np.float64(0.12193), np.float64(0.11837), np.float64(0.09751)]",0.496319055557251,47
ElasticNet,145,robust,0.01,0.05,0.11164842672586309,0.00859217916659227,"[np.float64(0.11125), np.float64(0.10943), np.float64(0.121), np.float64(0.11955), np.float64(0.09701)]",0.5163295269012451,48
ElasticNet,124,standard,0.005,0.4,0.11168932848294158,0.007436137974095591,"[np.float64(0.10864), np.float64(0.11358), np.float64(0.11754), np.float64(0.11979), np.float64(0.0989)]",0.30098462104797363,49
ElasticNet,51,robust,0.001,0.1,0.11169647068278869,0.008059455903751282,"[np.float64(0.11088), np.float64(0.11232), np.float64(0.11703), np.float64(0.121), np.float64(0.09725)]",2.0474917888641357,50
ElasticNet,65,robust,0.0015,0.05,0.1117133529527518,0.008137308694015624,"[np.float64(0.1114), np.float64(0.11196), np.float64(0.11683), np.float64(0.12127), np.float64(0.0971)]",1.8970167636871338,51
ElasticNet,152,standard,0.01,0.2,0.11172697940119877,0.007464970827470072,"[np.float64(0.1087), np.float64(0.1137), np.float64(0.11746), np.float64(0.11991), np.float64(0.09886)]",0.28838300704956055,52
Ridge,19,robust,10.0,,0.1118058665024663,0.008625734194698274,"[np.float64(0.11298), np.float64(0.11001), np.float64(0.11783), np.float64(0.12169), np.float64(0.09653)]",0.19959592819213867,53
Ridge,21,robust,15.0,,0.11182842709874127,0.008743087623350078,"[np.float64(0.11317), np.float64(0.10953), np.float64(0.11831), np.float64(0.12167), np.float64(0.09646)]",0.1999492645263672,54
ElasticNet,131,robust,0.007,0.1,0.11184776909920024,0.008509949643902297,"[np.float64(0.11102), np.float64(0.10988), np.float64(0.1219), np.float64(0.11895), np.float64(0.09749)]",0.49646997451782227,55
Ridge,17,robust,8.0,,0.11187756307885414,0.008556083454079112,"[np.float64(0.11296), np.float64(0.11041), np.float64(0.11763), np.float64(0.12175), np.float64(0.09664)]",0.20099830627441406,56
