search_type,oof_log_rmse,weights
random_dirichlet,0.1270534328741478,0.63881 | 0.18798 | 0.01440 | 0.00214 | 0.12631 | 0.03036
random_dirichlet,0.1270535392110405,0.62676 | 0.03253 | 0.09750 | 0.05138 | 0.09003 | 0.10180
random_dirichlet,0.12705377477886037,0.60551 | 0.20126 | 0.01618 | 0.02439 | 0.12104 | 0.03163
random_dirichlet,0.12705378357401545,0.56575 | 0.11226 | 0.00304 | 0.06134 | 0.14923 | 0.10838
random_dirichlet,0.12705432334320038,0.58876 | 0.15370 | 0.00115 | 0.05524 | 0.12452 | 0.07663
random_dirichlet,0.12705477307070454,0.56718 | 0.06944 | 0.18396 | 0.04963 | 0.10555 | 0.02424
random_dirichlet,0.12705490792294974,0.70268 | 0.04213 | 0.11831 | 0.00180 | 0.11850 | 0.01658
random_dirichlet,0.12705501334100866,0.57493 | 0.18595 | 0.00470 | 0.10506 | 0.11575 | 0.01362
random_dirichlet,0.12705540657125244,0.68374 | 0.01829 | 0.01422 | 0.21917 | 0.04955 | 0.01503
random_dirichlet,0.12705566976128965,0.72180 | 0.00814 | 0.03550 | 0.11471 | 0.09173 | 0.02812
random_dirichlet,0.12705569373257233,0.53803 | 0.03324 | 0.09099 | 0.20733 | 0.11929 | 0.01113
random_dirichlet,0.12705574439095718,0.61990 | 0.12687 | 0.01211 | 0.00837 | 0.12022 | 0.11254
random_dirichlet,0.12705591429458274,0.67525 | 0.15384 | 0.03739 | 0.03630 | 0.09586 | 0.00136
random_dirichlet,0.1270560210050544,0.56120 | 0.03329 | 0.02048 | 0.28619 | 0.09535 | 0.00349
random_dirichlet,0.12705645777782926,0.63851 | 0.08528 | 0.03859 | 0.02290 | 0.20895 | 0.00577
random_dirichlet,0.12705675398851685,0.66047 | 0.10763 | 0.14230 | 0.00391 | 0.07490 | 0.01079
random_dirichlet,0.1270570126797875,0.53645 | 0.02237 | 0.13576 | 0.00171 | 0.24681 | 0.05689
