model_name,dataset_type,fold,train_rows,valid_rows,train_log_rmse,valid_log_rmse,train_valid_gap,raw_mae,raw_rmse,raw_r2,fit_time_seconds
GradientBoosting_research_v1,tree,0,1166,292,0.05477696693100118,0.1148441986979385,0.06006723176693731,13870.314525744741,18790.985185255562,0.9360755697518712,7.662070274353027
GradientBoosting_research_v1,tree,1,1166,292,0.05601771774788556,0.11226122716959414,0.056243509421708575,13802.286139170435,21893.73370075855,0.9317421276979261,7.670222282409668
GradientBoosting_research_v1,tree,2,1166,292,0.054539433860572105,0.12015225403326098,0.06561282017268888,13849.198493109387,20447.8448465198,0.9215514935376223,7.740227222442627
GradientBoosting_research_v1,tree,3,1167,291,0.05449013944413315,0.12148417255364524,0.0669940331095121,14360.520276103523,23876.963211371167,0.9212526895401357,7.760967254638672
GradientBoosting_research_v1,tree,4,1167,291,0.05596423457450749,0.10206536339447084,0.046101128819963345,13882.814750902879,22749.327131019614,0.9197278508505602,7.7781572341918945
