model_name,dataset_type,fold,train_rows,valid_rows,train_log_rmse,valid_log_rmse,train_valid_gap,raw_mae,raw_rmse,raw_r2,fit_time_seconds
ExtraTrees_research_v1,tree,0,1166,292,1.386237866584902e-13,0.13567429084196578,0.13567429084182717,15233.005678534711,21364.688127939586,0.9173655994970507,1.752812385559082
ExtraTrees_research_v1,tree,1,1166,292,1.373179301188508e-13,0.12346923196472734,0.12346923196459002,15463.171520464515,24408.93351557247,0.9151580400230344,1.7760586738586426
ExtraTrees_research_v1,tree,2,1166,292,1.3826906724159515e-13,0.12805717343644382,0.12805717343630554,15311.987578032245,22156.427005854504,0.9078937607410928,1.8217763900756836
ExtraTrees_research_v1,tree,3,1167,291,1.3786577830687395e-13,0.1281520637612702,0.12815206376113233,15756.711982592326,27109.885527701743,0.8984843693941988,1.9022352695465088
ExtraTrees_research_v1,tree,4,1167,291,1.3956846537833287e-13,0.11698480241409169,0.11698480241395212,15776.579744586657,25437.39356973436,0.8996371471163614,2.0919556617736816
