model_name,dataset_type,fold,train_rows,valid_rows,train_log_rmse,valid_log_rmse,train_valid_gap,raw_mae,raw_rmse,raw_r2,fit_time_seconds
RandomForest_regularized_070_leaf3_seed999,tree,0,1166,292,0.0666365825851128,0.14159586890676246,0.07495928632164965,15919.268530197522,23486.847280894835,0.9001341015942801,1.9393887519836426
RandomForest_regularized_070_leaf3_seed999,tree,1,1166,292,0.06858929479704726,0.12666543283997703,0.05807613804292977,16320.976349665076,25678.571919578353,0.9061023293829584,1.7824347019195557
RandomForest_regularized_070_leaf3_seed999,tree,2,1166,292,0.06664759032721128,0.13959253937722899,0.07294494905001771,16561.363753741913,24098.373355716714,0.891040511804624,1.8640093803405762
RandomForest_regularized_070_leaf3_seed999,tree,3,1167,291,0.06817705016322408,0.12960930904491103,0.06143225888168695,15544.12502339004,25936.38922951576,0.9070827004728097,1.7735743522644043
RandomForest_regularized_070_leaf3_seed999,tree,4,1167,291,0.06923951724701877,0.11541894084353993,0.04617942359652116,16055.669682010921,25985.898170234832,0.8952622491663718,1.828568458557129
