model_name,dataset_type,fold,train_rows,valid_rows,train_log_rmse,valid_log_rmse,train_valid_gap,raw_mae,raw_rmse,raw_r2,fit_time_seconds
Ridge_RobustScaler_alpha30_master,linear,0,1166,292,0.09772855075431917,0.11406538556920505,0.016336834814885876,13538.90835130734,18889.76631113275,0.9354017227613888,0.04084444046020508
Ridge_RobustScaler_alpha30_master,linear,1,1166,292,0.09789966058982504,0.10940731552763468,0.011507654937809642,14216.94083755707,23249.77201836411,0.9230248611101468,0.04497838020324707
Ridge_RobustScaler_alpha30_master,linear,2,1166,292,0.0952160796710051,0.11949918759497712,0.024283107923972022,13234.56140034126,19290.44579931174,0.9301809193562399,0.04962635040283203
Ridge_RobustScaler_alpha30_master,linear,3,1167,291,0.09520456356818628,0.12197193376377964,0.02676737019559336,14792.080754040298,24554.32819590193,0.9167213527580376,0.060690879821777344
Ridge_RobustScaler_alpha30_master,linear,4,1167,291,0.10036970205568614,0.09678769738297109,-0.00358200467271505,13936.896663628535,22898.288712267462,0.9186731722065057,0.05067706108093262
