model_name,dataset_type,cv_mean_log_rmse,cv_std_log_rmse,oof_log_rmse,mean_train_log_rmse,mean_train_valid_gap,raw_mae_oof,raw_rmse_oof,raw_r2_oof,total_time_seconds,fold_count
SVR_RBF_RobustScaler_master,linear,0.1106276954391749,0.011238350562035211,0.11108787731779618,0.08683695316938378,0.023790742269791096,12760.351707698279,20176.40425886875,0.9355377763395174,2.747281551361084,5
Ridge_RobustScaler_alpha10_master,linear,0.1118058665024663,0.009643864007594875,0.1121412395964152,0.09208048352812036,0.019725382974345933,13683.927233484374,21463.174487962424,0.9270532994218006,0.323225736618042,5
BayesianRidge_RobustScaler_master,linear,0.11183172363729313,0.009740798937750384,0.11217382505512231,0.09342907544851838,0.018402648188774757,13724.61343021771,21527.551648659733,0.9266150469845554,0.6380293369293213,5
Ridge_RobustScaler_alpha30_master,linear,0.1123463039677135,0.009968445548559536,0.11270306891832767,0.09728371132780435,0.01506259263990917,13943.300631405817,21891.391516448548,0.9241135080062575,0.2762739658355713,5
CatBoost_master_v2,tree,0.11357772556467174,0.008883491634929425,0.11385775526850801,0.0720585211842841,0.04151920438038764,13889.099534454139,22253.54027509643,0.921581963355256,12.848367929458618,5
KernelRidge_Poly_RobustScaler_master,linear,0.11368303756228246,0.007989681601788794,0.11390886874274757,0.08859738013184645,0.02508565743043602,13827.367775400817,21049.99233794535,0.9298348230209629,0.4619584083557129,5
XGBoost_GPU_master_v2,tree,0.11452407828268303,0.008558380116924936,0.11478342167664454,0.05714977401564705,0.05737430426703598,14114.220488222529,22298.105902151397,0.9212675640930833,17.840911388397217,5
GradientBoosting_master_v2,tree,0.11470200823423819,0.007679244029747655,0.11491075204551437,0.0498924222813201,0.06480958595291811,13916.178320377674,21772.860515138716,0.9249330585053039,58.998605489730835,5
LightGBM_master_v2,tree,0.11742291331371064,0.010215569528545722,0.11778378341850823,0.022657986856806013,0.09476492645690462,14361.43358453954,22401.29129830556,0.9205372029778465,6.588749647140503,5
Huber_RobustScaler_master,linear,0.11747044504312291,0.0107214560191551,0.11786524954702783,0.09074856735669493,0.026721877686427996,13855.683953447167,22247.576751781828,0.9216239867927587,7.178683280944824,5
ExtraTrees_master_v2,tree,0.12633722042331635,0.00736127871157826,0.12651457627020904,1.6625822364800242e-13,0.12633722042315007,15487.534856865883,23972.95842253755,0.9089958903320859,14.7295241355896,5
