model_name,dataset_type,fold,train_rows,valid_rows,train_log_rmse,valid_log_rmse,train_valid_gap,raw_mae,raw_rmse,raw_r2,fit_time_seconds
RandomForest_deep_sqrt_seed42,tree,0,1166,292,0.047890610566691444,0.14210187993931256,0.09421126937262111,15477.116226621785,22226.590896832473,0.9105637713739055,1.5328421592712402
RandomForest_deep_sqrt_seed42,tree,1,1166,292,0.04882972046279885,0.12439198929020333,0.07556226882740448,15931.916240018014,28185.557607072926,0.8868729802691302,1.4953265190124512
RandomForest_deep_sqrt_seed42,tree,2,1166,292,0.048151350509763095,0.1299450439265393,0.0817936934167762,15315.78371780013,22917.7284580456,0.9014554215355741,1.5719337463378906
RandomForest_deep_sqrt_seed42,tree,3,1167,291,0.04799554579401246,0.1367706925900435,0.08877514679603105,16696.259351438493,30361.08033816558,0.8726754965280108,1.6220240592956543
RandomForest_deep_sqrt_seed42,tree,4,1167,291,0.049341268471068234,0.11847463740643441,0.06913336893536617,16415.50550219361,27082.612694643358,0.886234940853625,1.6980581283569336
