model_name,dataset_type,cv_mean_log_rmse,cv_std_log_rmse,oof_log_rmse,mean_train_log_rmse,mean_train_valid_gap,raw_mae_oof,raw_rmse_oof,raw_r2_oof,total_time_seconds,fold_count,rank
ElasticNet_RobustScaler_baseline,linear,0.11074288351126252,0.009057239772414445,0.11104220131071016,0.09112342702854832,0.019619456482714202,13506.653701284873,21150.13109258039,0.9291656573576303,0.9650750160217285,5,1
Ridge_RobustScaler_baseline,linear,0.11196667455600458,0.009859920749248467,0.1123167851967404,0.0951632792633578,0.016803395292646767,13814.680696018411,21673.953107520654,0.925613521466524,0.2148151397705078,5,2
XGBoost_GPU_baseline,tree,0.11533147675501368,0.008565355338785567,0.11558947019469912,0.05513872528413762,0.060192751470876035,14094.715558450765,22160.052200221107,0.9222394544286648,7.337158203125,5,3
GradientBoosting_baseline,tree,0.11616075409116036,0.009149671087058713,0.11645241136510465,0.060709612129907456,0.05545114196125289,14234.077576937047,22145.75798591896,0.9223397400598459,17.463138341903687,5,4
RandomForest_baseline,tree,0.13119604218825426,0.009135117250157046,0.13145403708673126,0.04885969164738353,0.08233635054087077,16085.883036450492,26554.430108076063,0.8883415200135205,2.0499911308288574,5,5
ExtraTrees_baseline,tree,0.1346602134543184,0.01110538260186188,0.13502915327294876,5.856101284133404e-14,0.1346602134542598,16497.90343045187,27582.54260608909,0.8795279401097073,1.7552530765533447,5,6
