model_name,dataset_type,fold,train_rows,valid_rows,train_log_rmse,valid_log_rmse,train_valid_gap,raw_mae,raw_rmse,raw_r2,fit_time_seconds
Ridge_RobustScaler_baseline,linear,0,1166,292,0.09566819184627771,0.11344278982047643,0.01777459797419871,13503.971998188803,18823.939673636698,0.935851159580299,0.04711174964904785
Ridge_RobustScaler_baseline,linear,1,1166,292,0.09564730707281514,0.10937530562427113,0.013727998551455983,14039.959150470746,22879.452692243078,0.9254574326248999,0.04239964485168457
Ridge_RobustScaler_baseline,linear,2,1166,292,0.0931358288554141,0.11875865833116497,0.02562282947575087,13026.955821416379,19085.45945401462,0.93165687451419,0.03630352020263672
Ridge_RobustScaler_baseline,linear,3,1167,291,0.0931344045220669,0.12173256202948567,0.028598157507418773,14703.246215757606,24336.95331859423,0.9181893266106701,0.03501772880554199
Ridge_RobustScaler_baseline,linear,4,1167,291,0.09823066402021514,0.09652405697462464,-0.0017066070455905025,13802.270827310014,22694.13408591461,0.9201168812478577,0.03490018844604492
ElasticNet_RobustScaler_baseline,linear,0,1166,292,0.09214340964132842,0.10908086499716417,0.016937455355835754,13210.963071433524,18510.277803819623,0.9379711629226621,0.2271883487701416
ElasticNet_RobustScaler_baseline,linear,1,1166,292,0.09074472050160066,0.11132076797086406,0.020576047469263392,13653.725520359354,21694.166102919058,0.9329808360264482,0.14682579040527344
ElasticNet_RobustScaler_baseline,linear,2,1166,292,0.08918388830731468,0.1174823677996519,0.028298479492337228,12800.142745130393,18944.821354727777,0.9326603854691142,0.17213201522827148
ElasticNet_RobustScaler_baseline,linear,3,1167,291,0.08949787041772111,0.11939619205388843,0.02989832163616732,14389.892618804626,24016.1010853263,0.9203322494268122,0.21100616455078125
ElasticNet_RobustScaler_baseline,linear,4,1167,291,0.0940472462747767,0.09643422473474403,0.002386978459967326,13481.483140960858,22096.99466326245,0.924265423615928,0.19244027137756348
RandomForest_baseline,tree,0,1166,292,0.04847201823559577,0.1422275246242144,0.09375550638861863,15530.952870012723,22286.10771056172,0.9100841579136997,0.332714319229126
RandomForest_baseline,tree,1,1166,292,0.049254975806714785,0.12619727805548556,0.07694230224877077,16112.58409886943,28696.808417229397,0.8827317941875381,0.3454859256744385
RandomForest_baseline,tree,2,1166,292,0.04835393256857253,0.1309355037461864,0.08258157117761386,15550.469330773849,23156.963622657582,0.8993872952484228,0.353985071182251
RandomForest_baseline,tree,3,1167,291,0.04854608911222304,0.1375401556858988,0.08899406657367577,16742.849312310398,30317.069305468296,0.8730443649154119,0.35806798934936523
RandomForest_baseline,tree,4,1167,291,0.04967144251381154,0.1190797488294863,0.06940830631567477,16496.2147002163,27404.958113504264,0.8835106923073157,0.3616018295288086
ExtraTrees_baseline,tree,0,1166,292,5.877413462704222e-14,0.14687491487037627,0.14687491487031748,16393.261941122855,23059.001995377814,0.9037393523391257,0.28098607063293457
ExtraTrees_baseline,tree,1,1166,292,5.911417786760023e-14,0.13201439073496796,0.13201439073490884,16771.596570964954,30455.45194373053,0.8679181384909015,0.3009793758392334
ExtraTrees_baseline,tree,2,1166,292,5.761709516365438e-14,0.13005487210290223,0.1300548721028446,15333.96579165703,22753.32093619201,0.902864231034374,0.28141260147094727
ExtraTrees_baseline,tree,3,1167,291,5.888004023198733e-14,0.14449898174109851,0.14449898174103964,17924.115892948943,32907.25088625112,0.8504243999304631,0.30300068855285645
ExtraTrees_baseline,tree,4,1167,291,5.841961631638596e-14,0.11985790782224691,0.11985790782218848,16069.995807756666,27297.984362382937,0.8844183366219546,0.2883641719818115
GradientBoosting_baseline,tree,0,1166,292,0.060719360876128066,0.11757256188652206,0.05685320101039399,14082.832325293268,19271.067088271022,0.9327674950945801,3.502246856689453
GradientBoosting_baseline,tree,1,1166,292,0.06191774649939949,0.11433689871167337,0.052419152212273876,13940.99042513654,21914.362053453297,0.9316134414887189,3.4472296237945557
GradientBoosting_baseline,tree,2,1166,292,0.05934851723151136,0.1226919224744239,0.06334340524291254,14159.819638110706,20995.190895072654,0.9172954785869005,3.4914464950561523
GradientBoosting_baseline,tree,3,1167,291,0.060029121776496504,0.12468066462469822,0.06465154284820171,14961.372546813644,25095.532909039754,0.9130097870188193,3.509152412414551
GradientBoosting_baseline,tree,4,1167,291,0.061533314266001865,0.1015217227584842,0.039988408492482336,14027.155046727234,23034.552978770902,0.9177023648107812,3.4702844619750977
XGBoost_GPU_baseline,tree,0,1166,292,0.05508015679249726,0.11752024738200058,0.06244009058950332,13807.237813035124,19201.922321128484,0.9332490912562623,1.5615079402923584
XGBoost_GPU_baseline,tree,1,1166,292,0.05562098065324531,0.11247211926024109,0.056851138606995776,14045.991210937515,22524.93459850162,0.9277496157383953,1.2604968547821045
XGBoost_GPU_baseline,tree,2,1166,292,0.05379477680045974,0.12209740995959903,0.06830263315913929,13849.263792273116,20574.13868648857,0.9205794439474079,1.3301031589508057
XGBoost_GPU_baseline,tree,3,1167,291,0.05467578032932841,0.1226794789029773,0.06800369857364888,14825.498348904652,24940.695452444532,0.9140799209731717,1.3136639595031738
XGBoost_GPU_baseline,tree,4,1167,291,0.0565219318451574,0.10188812827025036,0.04536619642509296,13947.5858703823,23119.623571781758,0.9170933634736447,1.700660228729248
