model_name,dataset_type,fold,train_rows,valid_rows,train_log_rmse,valid_log_rmse,train_valid_gap,raw_mae,raw_rmse,raw_r2,fit_time_seconds
XGBoost_GPU_master_v2,tree,0,1166,292,0.05713675172622668,0.11833695535755265,0.061200203631325965,14031.436188998301,19186.97242594542,0.933352990293167,3.7386391162872314
XGBoost_GPU_master_v2,tree,1,1166,292,0.05774140478624866,0.11140169415422417,0.05366028936797551,14141.708623180672,23534.09460107503,0.9211306841396167,3.357525110244751
XGBoost_GPU_master_v2,tree,2,1166,292,0.055652998342951884,0.11992285804122813,0.06426985969827624,13712.29660744863,20484.864946311543,0.9212671799085345,3.6496543884277344
XGBoost_GPU_master_v2,tree,3,1167,291,0.05720068596583751,0.1219915711805152,0.06479088521467768,14859.858958870274,25003.667968807316,0.9136454957036284,3.506040096282959
XGBoost_GPU_master_v2,tree,4,1167,291,0.05801702925697052,0.10096731267989502,0.0429502834229245,13827.3751342354,22797.72963395087,0.9193859061187293,3.3732221126556396
