model_name,fold,feature,coefficient,abs_coefficient,intercept
Ridge_RobustScaler_baseline,0,LotFrontage,0.0034390545291442865,0.0034390545291442865,12.041114614997326
Ridge_RobustScaler_baseline,0,LotArea,0.03429719502189039,0.03429719502189039,12.041114614997326
Ridge_RobustScaler_baseline,0,OverallQual,0.05632150220005703,0.05632150220005703,12.041114614997326
Ridge_RobustScaler_baseline,0,OverallCond,0.03960731705036229,0.03960731705036229,12.041114614997326
Ridge_RobustScaler_baseline,0,YearBuilt,0.037308429549380885,0.037308429549380885,12.041114614997326
Ridge_RobustScaler_baseline,0,YearRemodAdd,0.012145586334022724,0.012145586334022724,12.041114614997326
Ridge_RobustScaler_baseline,0,MasVnrArea,0.008379776476701134,0.008379776476701134,12.041114614997326
Ridge_RobustScaler_baseline,0,BsmtFinSF1,0.028154105503959352,0.028154105503959352,12.041114614997326
Ridge_RobustScaler_baseline,0,BsmtFinSF2,-0.004150012854786603,0.004150012854786603,12.041114614997326
Ridge_RobustScaler_baseline,0,BsmtUnfSF,-0.006854860217919176,0.006854860217919176,12.041114614997326
Ridge_RobustScaler_baseline,0,TotalBsmtSF,-0.000783269676783119,0.000783269676783119,12.041114614997326
Ridge_RobustScaler_baseline,0,1stFlrSF,0.019773528787007773,0.019773528787007773,12.041114614997326
Ridge_RobustScaler_baseline,0,2ndFlrSF,0.012896471660984137,0.012896471660984137,12.041114614997326
Ridge_RobustScaler_baseline,0,LowQualFinSF,0.00293493237018276,0.00293493237018276,12.041114614997326
Ridge_RobustScaler_baseline,0,GrLivArea,0.03651018454689682,0.03651018454689682,12.041114614997326
Ridge_RobustScaler_baseline,0,BsmtFullBath,0.019944115721200497,0.019944115721200497,12.041114614997326
Ridge_RobustScaler_baseline,0,BsmtHalfBath,-0.0031365601793365717,0.0031365601793365717,12.041114614997326
Ridge_RobustScaler_baseline,0,FullBath,0.021678017823591734,0.021678017823591734,12.041114614997326
Ridge_RobustScaler_baseline,0,HalfBath,0.01850012105470357,0.01850012105470357,12.041114614997326
Ridge_RobustScaler_baseline,0,BedroomAbvGr,-0.014660893180096196,0.014660893180096196,12.041114614997326
Ridge_RobustScaler_baseline,0,KitchenAbvGr,-0.02996257677055233,0.02996257677055233,12.041114614997326
Ridge_RobustScaler_baseline,0,TotRmsAbvGrd,0.02371324839013248,0.02371324839013248,12.041114614997326
Ridge_RobustScaler_baseline,0,Fireplaces,0.021009672738593794,0.021009672738593794,12.041114614997326
Ridge_RobustScaler_baseline,0,GarageYrBlt,-0.0030279726349672475,0.0030279726349672475,12.041114614997326
Ridge_RobustScaler_baseline,0,GarageCars,0.028158360280610584,0.028158360280610584,12.041114614997326
Ridge_RobustScaler_baseline,0,GarageArea,0.0027295556755215855,0.0027295556755215855,12.041114614997326
