model_name,feature,mean_coefficient,std_coefficient,mean_abs_coefficient,positive_fold_count,negative_fold_count,nonzero_fold_count,coefficient_direction
ElasticNet_RobustScaler_baseline,BsmtQual__Gd,-0.004857968557853712,0.005734970303195262,0.004857968557853712,0,3,3,negative
ElasticNet_RobustScaler_baseline,BsmtQual__NoFeature,0.0,0.0,0.0,0,0,0,zero
ElasticNet_RobustScaler_baseline,BsmtQual__TA,-0.010383070717772499,0.005694635500505162,0.010383070717772499,0,5,5,negative
ElasticNet_RobustScaler_baseline,BsmtUnfSF,-0.007855293583632057,0.001872980326546032,0.007855293583632057,0,5,5,negative
ElasticNet_RobustScaler_baseline,CentralAir__N,-0.01792671283716263,0.003580064539137034,0.01792671283716263,0,5,5,negative
ElasticNet_RobustScaler_baseline,CentralAir__Y,0.017927135058240076,0.0035843767795262515,0.017927135058240076,5,0,5,positive
ElasticNet_RobustScaler_baseline,Condition1__Artery,-0.03372664927113281,0.010913414419459177,0.03372664927113281,0,5,5,negative
ElasticNet_RobustScaler_baseline,Condition1__Feedr,0.0,0.0,0.0,0,0,0,zero
ElasticNet_RobustScaler_baseline,Condition1__Norm,0.041660429893824305,0.006306222504349086,0.041660429893824305,5,0,5,positive
ElasticNet_RobustScaler_baseline,Condition1__PosN,0.016678208782402896,0.014622762084168005,0.016678208782402896,5,0,5,positive
ElasticNet_RobustScaler_baseline,Condition1__RRAe,-0.06141818514245123,0.022046591978773254,0.06141818514245123,0,5,5,negative
ElasticNet_RobustScaler_baseline,Condition1__RRAn,0.0009404260480146492,0.002102856571172237,0.0009404260480146492,1,0,1,positive
ElasticNet_RobustScaler_baseline,Condition1__Rare,0.0,0.0,0.0,0,0,0,zero
ElasticNet_RobustScaler_baseline,Condition2__Norm,0.00042957911127104064,0.0009605680945159929,0.00042957911127104064,1,0,1,positive
ElasticNet_RobustScaler_baseline,Condition2__Rare,-0.00042978379817107507,0.0009610257883385736,0.00042978379817107507,0,1,1,negative
ElasticNet_RobustScaler_baseline,Electrical__FuseA,0.00042624507651798917,0.0009531129661688231,0.00042624507651798917,1,0,1,positive
ElasticNet_RobustScaler_baseline,Electrical__FuseF,0.0004909304654066567,0.001097753892874893,0.0004909304654066567,1,0,1,positive
ElasticNet_RobustScaler_baseline,Electrical__FuseP,0.0,0.0,0.0,0,0,0,zero
ElasticNet_RobustScaler_baseline,Electrical__Mix,0.0,0.0,0.0,0,0,0,zero
ElasticNet_RobustScaler_baseline,Electrical__SBrkr,-0.010327802524113264,0.007441926888581668,0.010327802524113264,0,5,5,negative
ElasticNet_RobustScaler_baseline,EnclosedPorch,0.0016005479504840314,0.0007800987027151064,0.0016005479504840314,5,0,5,positive
ElasticNet_RobustScaler_baseline,ExterCond_Ord,0.003404218439717925,0.006430998847522367,0.003404218439717925,2,0,2,positive
ElasticNet_RobustScaler_baseline,ExterCond__Ex,0.0,0.0,0.0,0,0,0,zero
ElasticNet_RobustScaler_baseline,ExterCond__Fa,0.0,0.0,0.0,0,0,0,zero
ElasticNet_RobustScaler_baseline,ExterCond__Gd,-0.01589131854810442,0.005577324550932942,0.01589131854810442,0,5,5,negative
ElasticNet_RobustScaler_baseline,ExterCond__Po,0.0,0.0,0.0,0,0,0,zero
ElasticNet_RobustScaler_baseline,ExterCond__TA,0.006305340742735752,0.0064070006076449885,0.006305340742735752,3,0,3,positive
ElasticNet_RobustScaler_baseline,ExterQual_Ord,0.0,0.0,0.0,0,0,0,zero
ElasticNet_RobustScaler_baseline,ExterQual_Ord_x_GrLivArea,0.003085831155702212,0.006900128231236883,0.003085831155702212,1,0,1,positive
ElasticNet_RobustScaler_baseline,ExterQual__Ex,0.010373212623857942,0.007290126042876701,0.010373212623857942,4,0,4,positive
ElasticNet_RobustScaler_baseline,ExterQual__Fa,0.009415072387764279,0.013415486682814335,0.009415072387764279,3,0,3,positive
ElasticNet_RobustScaler_baseline,ExterQual__Gd,-0.006042879452192077,0.0037264649678546116,0.006042879452192077,0,4,4,negative
ElasticNet_RobustScaler_baseline,ExterQual__TA,-0.008855615637385478,0.008258673014376503,0.008855615637385478,0,3,3,negative
ElasticNet_RobustScaler_baseline,Exterior1st__AsbShng,0.0003829308640577754,0.0008562594427159167,0.0003829308640577754,1,0,1,positive
ElasticNet_RobustScaler_baseline,Exterior1st__BrkFace,0.07045951013558062,0.010428652123569382,0.07045951013558062,5,0,5,positive
ElasticNet_RobustScaler_baseline,Exterior1st__CemntBd,-0.0010294126601357897,0.002301836684962514,0.0010294126601357897,0,1,1,negative
ElasticNet_RobustScaler_baseline,Exterior1st__HdBoard,-0.0059376449415691375,0.004763311867097487,0.0059376449415691375,0,4,4,negative
ElasticNet_RobustScaler_baseline,Exterior1st__MetalSd,0.01297598608574887,0.006914404298241699,0.01297598608574887,5,0,5,positive
ElasticNet_RobustScaler_baseline,Exterior1st__Plywood,-0.0030380309430555765,0.004254901067102882,0.0030380309430555765,0,3,3,negative
ElasticNet_RobustScaler_baseline,Exterior1st__Rare,-0.031119101417567418,0.022721102048194525,0.031119101417567418,0,4,4,negative
ElasticNet_RobustScaler_baseline,Exterior1st__Stucco,0.007741686252202481,0.00873683714152163,0.007741686252202481,3,0,3,positive
