model_name,feature,mean_importance,std_importance,max_importance
CatBoost_research_v1,OverallQual_x_TotalSF,19.9423203441596,2.06907820148997,23.18927603803702
CatBoost_research_v1,OverallQual_x_GrLivArea,7.731122372951807,1.2999012970595238,9.093298026625302
CatBoost_research_v1,OverallQual_x_TotalBath,6.901643806040054,0.5008325166188025,7.484946723511949
CatBoost_research_v1,KitchenQual_Ord_x_GrLivArea,4.650524656884772,0.8391814765827348,5.768703537282845
CatBoost_research_v1,ExterQual_Ord_x_GrLivArea,4.5535837624084055,1.1411081304115112,5.957830241908682
CatBoost_research_v1,TotalSF,4.130515536747074,0.9438583650419515,5.7689514088883085
CatBoost_research_v1,LivingPlusBasementSF,3.9830455827244675,0.3938212816613637,4.499681401364472
CatBoost_research_v1,LuxuryQualityScore,3.837668892846383,0.927281555789491,4.910866646715496
CatBoost_research_v1,OverallQual,3.7841452155668973,0.5889671269867293,4.600283942094662
CatBoost_research_v1,OverallCond,2.493737019888761,0.6060233916260357,3.4117844750244224
CatBoost_research_v1,LotArea,1.973684457414467,0.06817748767393933,2.0237549422211614
CatBoost_research_v1,BsmtQual_Ord_x_TotalBsmtSF,1.845138268906073,0.37716167183907967,2.285398650080499
CatBoost_research_v1,GarageFinish_Ord_x_GarageArea,1.5775579770010073,0.3889170389489026,2.0156437590943637
CatBoost_research_v1,RemodAge,1.1751514363203834,0.31666219741612706,1.409017308229109
CatBoost_research_v1,GarageCars,1.1661909053908353,0.45185155743032823,1.6927484821470895
CatBoost_research_v1,YearRemodAdd,1.0810784168590548,0.4651034397722991,1.6434147557408771
CatBoost_research_v1,BasementQualityScore,0.9571830087911964,0.29819389003869656,1.3171637922058612
CatBoost_research_v1,GarageQual_Ord_x_GarageArea,0.938088088232834,0.20654280974216896,1.1429923009826213
CatBoost_research_v1,BsmtFinSF1,0.9207665880955112,0.2490855260741154,1.256612242199217
CatBoost_research_v1,1stFlrSF,0.916504879915867,0.4267433515643063,1.6280911198658243
CatBoost_research_v1,YearBuilt,0.8747497574877704,0.3315571262080546,1.366541104838795
CatBoost_research_v1,FireplaceQu_Ord,0.8534441879229575,0.5450280696137848,1.4133223778019208
CatBoost_research_v1,KitchenQualityScore,0.8118165870857178,0.17859244307566022,1.094548457544546
CatBoost_research_v1,TotalBath,0.7975815049830427,0.3626149106117542,1.2187994752269293
CatBoost_research_v1,HouseAge,0.7596411793876461,0.16328713514057208,0.9691916151342637
CatBoost_research_v1,KitchenQual_Ord,0.7558044427413875,0.3082689416716489,1.0990565314501852
CatBoost_research_v1,CentralAir__Y,0.7550968650481535,0.2243641077149221,1.0493021276558065
CatBoost_research_v1,CentralAir__N,0.7440982951215267,0.2239774690476603,1.0286835041817408
CatBoost_research_v1,TotalBsmtSF,0.7312186109732727,0.17396226790970865,0.9010300658521022
CatBoost_research_v1,MSZoning__C (all),0.643252288233214,0.3027569315210346,0.941630144629256
CatBoost_research_v1,BsmtQual_Ord,0.5832751845591264,0.3175145086192055,0.9685776210205796
CatBoost_research_v1,GarageArea,0.5813007349293554,0.14830983046233057,0.8271432371950603
CatBoost_research_v1,GrLivArea,0.5585439450775294,0.19453974917709063,0.7473508147161441
CatBoost_research_v1,Neighborhood__Crawfor,0.5502151214725389,0.0706543832409553,0.6362164608592156
CatBoost_research_v1,GarageYrBlt,0.5496011021593408,0.15369625134971662,0.7805382461587422
CatBoost_research_v1,OutdoorSF,0.5389147159467816,0.10141683052933483,0.6405325021474391
CatBoost_research_v1,SaleCondition__Abnorml,0.5221560306775551,0.11934065353126504,0.6391695035190363
CatBoost_research_v1,BsmtUnfSF,0.4853655949668935,0.09154540285962504,0.6398266057642249
CatBoost_research_v1,BsmtFinType1_Ord,0.4784168366886356,0.1315303645570417,0.6658500685319749
CatBoost_research_v1,GarageCond_Ord,0.45791262507677033,0.10912942156771359,0.623169135816886
CatBoost_research_v1,GarageQualityScore,0.4520348152315874,0.3949623892404224,1.099305177967117
CatBoost_research_v1,ExterQual_Ord,0.435439281883837,0.1309180394056668,0.6063948675196055
