model_name,fold,feature,coefficient,abs_coefficient,intercept
ElasticNet_RobustScaler_baseline,0,LotFrontage,0.0015031810057717387,0.0015031810057717387,12.010267706074531
ElasticNet_RobustScaler_baseline,0,LotArea,0.035760738185012506,0.035760738185012506,12.010267706074531
ElasticNet_RobustScaler_baseline,0,OverallQual,0.07874582510482238,0.07874582510482238,12.010267706074531
ElasticNet_RobustScaler_baseline,0,OverallCond,0.03995687961525782,0.03995687961525782,12.010267706074531
ElasticNet_RobustScaler_baseline,0,YearBuilt,0.04477187825960234,0.04477187825960234,12.010267706074531
ElasticNet_RobustScaler_baseline,0,YearRemodAdd,0.007774868884089919,0.007774868884089919,12.010267706074531
ElasticNet_RobustScaler_baseline,0,MasVnrArea,0.0,0.0,12.010267706074531
ElasticNet_RobustScaler_baseline,0,BsmtFinSF1,0.04005081864586809,0.04005081864586809,12.010267706074531
ElasticNet_RobustScaler_baseline,0,BsmtFinSF2,-0.004463657114435175,0.004463657114435175,12.010267706074531
ElasticNet_RobustScaler_baseline,0,BsmtUnfSF,-0.0069301138904858395,0.0069301138904858395,12.010267706074531
ElasticNet_RobustScaler_baseline,0,TotalBsmtSF,-0.0007268068195332045,0.0007268068195332045,12.010267706074531
ElasticNet_RobustScaler_baseline,0,1stFlrSF,0.0035087272475695466,0.0035087272475695466,12.010267706074531
ElasticNet_RobustScaler_baseline,0,2ndFlrSF,0.003633795518971525,0.003633795518971525,12.010267706074531
ElasticNet_RobustScaler_baseline,0,LowQualFinSF,3.476772563369169e-05,3.476772563369169e-05,12.010267706074531
ElasticNet_RobustScaler_baseline,0,GrLivArea,0.08863830633148405,0.08863830633148405,12.010267706074531
ElasticNet_RobustScaler_baseline,0,BsmtFullBath,0.034574391690679364,0.034574391690679364,12.010267706074531
ElasticNet_RobustScaler_baseline,0,BsmtHalfBath,0.004871343873578805,0.004871343873578805,12.010267706074531
ElasticNet_RobustScaler_baseline,0,FullBath,0.03729273450470218,0.03729273450470218,12.010267706074531
ElasticNet_RobustScaler_baseline,0,HalfBath,0.024306059752422116,0.024306059752422116,12.010267706074531
ElasticNet_RobustScaler_baseline,0,BedroomAbvGr,-0.012804667887649635,0.012804667887649635,12.010267706074531
ElasticNet_RobustScaler_baseline,0,KitchenAbvGr,-0.042523778762634225,0.042523778762634225,12.010267706074531
ElasticNet_RobustScaler_baseline,0,TotRmsAbvGrd,0.024927437739601863,0.024927437739601863,12.010267706074531
ElasticNet_RobustScaler_baseline,0,Fireplaces,0.022818482781421647,0.022818482781421647,12.010267706074531
ElasticNet_RobustScaler_baseline,0,GarageYrBlt,-0.0024853524587084186,0.0024853524587084186,12.010267706074531
ElasticNet_RobustScaler_baseline,0,GarageCars,0.033963893675867024,0.033963893675867024,12.010267706074531
ElasticNet_RobustScaler_baseline,0,GarageArea,0.0,0.0,12.010267706074531
ElasticNet_RobustScaler_baseline,0,WoodDeckSF,0.045701718046810974,0.045701718046810974,12.010267706074531
ElasticNet_RobustScaler_baseline,0,OpenPorchSF,0.049118971998086805,0.049118971998086805,12.010267706074531
ElasticNet_RobustScaler_baseline,0,EnclosedPorch,0.001155339909563293,0.001155339909563293,12.010267706074531
ElasticNet_RobustScaler_baseline,0,3SsnPorch,0.004111372218847503,0.004111372218847503,12.010267706074531
ElasticNet_RobustScaler_baseline,0,ScreenPorch,0.005621941049425396,0.005621941049425396,12.010267706074531
ElasticNet_RobustScaler_baseline,0,PoolArea,0.0050343850588991075,0.0050343850588991075,12.010267706074531
ElasticNet_RobustScaler_baseline,0,MiscVal,-0.003212463596666316,0.003212463596666316,12.010267706074531
ElasticNet_RobustScaler_baseline,0,MoSold,-0.0017722076863731667,0.0017722076863731667,12.010267706074531
ElasticNet_RobustScaler_baseline,0,YrSold,-0.005583183762536196,0.005583183762536196,12.010267706074531
ElasticNet_RobustScaler_baseline,0,TotalSF,0.029947621356829563,0.029947621356829563,12.010267706074531
ElasticNet_RobustScaler_baseline,0,LivingPlusBasementSF,0.08336267136477707,0.08336267136477707,12.010267706074531
ElasticNet_RobustScaler_baseline,0,TotalPorchSF,0.0,0.0,12.010267706074531
ElasticNet_RobustScaler_baseline,0,OutdoorSF,-0.0,0.0,12.010267706074531
ElasticNet_RobustScaler_baseline,0,TotalBath,0.0,0.0,12.010267706074531
ElasticNet_RobustScaler_baseline,0,HouseAge,-0.0471915154644103,0.0471915154644103,12.010267706074531
ElasticNet_RobustScaler_baseline,0,RemodAge,-0.02090282903146662,0.02090282903146662,12.010267706074531
ElasticNet_RobustScaler_baseline,0,IsNewHouse,0.0,0.0,12.010267706074531
ElasticNet_RobustScaler_baseline,0,IsRemodeled,-0.0068870180609592645,0.0068870180609592645,12.010267706074531
ElasticNet_RobustScaler_baseline,0,HasGarageYrBlt,-0.0,0.0,12.010267706074531
ElasticNet_RobustScaler_baseline,0,GarageAge,-0.008409991035490822,0.008409991035490822,12.010267706074531
ElasticNet_RobustScaler_baseline,0,HasGarage,-0.0,0.0,12.010267706074531
ElasticNet_RobustScaler_baseline,0,HasBasement,-0.0,0.0,12.010267706074531
ElasticNet_RobustScaler_baseline,0,HasFireplace,0.0,0.0,12.010267706074531
ElasticNet_RobustScaler_baseline,0,HasPool,0.0,0.0,12.010267706074531
ElasticNet_RobustScaler_baseline,0,HasMasVnr,-0.0,0.0,12.010267706074531
ElasticNet_RobustScaler_baseline,0,HasWoodDeck,-0.027999450536770366,0.027999450536770366,12.010267706074531
ElasticNet_RobustScaler_baseline,0,HasOpenPorch,-0.048222344684243065,0.048222344684243065,12.010267706074531
ElasticNet_RobustScaler_baseline,0,HasScreenPorch,-0.0,0.0,12.010267706074531
ElasticNet_RobustScaler_baseline,0,Has3SsnPorch,0.0,0.0,12.010267706074531
ElasticNet_RobustScaler_baseline,0,HasMiscFeature,0.0,0.0,12.010267706074531
ElasticNet_RobustScaler_baseline,0,HasFence,-0.00547588486505818,0.00547588486505818,12.010267706074531
ElasticNet_RobustScaler_baseline,0,HasAlley,0.0059581299000364745,0.0059581299000364745,12.010267706074531
ElasticNet_RobustScaler_baseline,0,ExteriorMatched,-0.004556674955603587,0.004556674955603587,12.010267706074531
ElasticNet_RobustScaler_baseline,0,ExterQual_Ord,0.0,0.0,12.010267706074531
ElasticNet_RobustScaler_baseline,0,ExterCond_Ord,0.0022449371577205985,0.0022449371577205985,12.010267706074531
ElasticNet_RobustScaler_baseline,0,BsmtQual_Ord,0.0,0.0,12.010267706074531
ElasticNet_RobustScaler_baseline,0,BsmtCond_Ord,-0.0,0.0,12.010267706074531
ElasticNet_RobustScaler_baseline,0,BsmtExposure_Ord,0.00716834210236326,0.00716834210236326,12.010267706074531
ElasticNet_RobustScaler_baseline,0,BsmtFinType1_Ord,0.0,0.0,12.010267706074531
ElasticNet_RobustScaler_baseline,0,BsmtFinType2_Ord,0.005178848684348417,0.005178848684348417,12.010267706074531
ElasticNet_RobustScaler_baseline,0,HeatingQC_Ord,0.001957234117655207,0.001957234117655207,12.010267706074531
ElasticNet_RobustScaler_baseline,0,KitchenQual_Ord,0.0,0.0,12.010267706074531
ElasticNet_RobustScaler_baseline,0,Functional_Ord,0.03594527675471735,0.03594527675471735,12.010267706074531
ElasticNet_RobustScaler_baseline,0,FireplaceQu_Ord,0.0,0.0,12.010267706074531
ElasticNet_RobustScaler_baseline,0,GarageFinish_Ord,0.0,0.0,12.010267706074531
ElasticNet_RobustScaler_baseline,0,GarageQual_Ord,0.022257874757163204,0.022257874757163204,12.010267706074531
ElasticNet_RobustScaler_baseline,0,GarageCond_Ord,-0.0004099595113284222,0.0004099595113284222,12.010267706074531
ElasticNet_RobustScaler_baseline,0,PavedDrive_Ord,0.007972079859768498,0.007972079859768498,12.010267706074531
ElasticNet_RobustScaler_baseline,0,PoolQC_Ord,0.044646810034116156,0.044646810034116156,12.010267706074531
ElasticNet_RobustScaler_baseline,0,Fence_Ord,-0.0,0.0,12.010267706074531
ElasticNet_RobustScaler_baseline,0,LotShape_Ord,-0.0011046685768338186,0.0011046685768338186,12.010267706074531
ElasticNet_RobustScaler_baseline,0,LandSlope_Ord,0.02096213117957615,0.02096213117957615,12.010267706074531
ElasticNet_RobustScaler_baseline,0,ExteriorQualityScore,0.002143705518488036,0.002143705518488036,12.010267706074531
ElasticNet_RobustScaler_baseline,0,KitchenQualityScore,0.0,0.0,12.010267706074531
ElasticNet_RobustScaler_baseline,0,BasementQualityScore,0.0,0.0,12.010267706074531
ElasticNet_RobustScaler_baseline,0,BasementFinishScore,0.0019257117188557194,0.0019257117188557194,12.010267706074531
ElasticNet_RobustScaler_baseline,0,GarageQualityScore,0.0024920912340650023,0.0024920912340650023,12.010267706074531
ElasticNet_RobustScaler_baseline,0,LuxuryQualityScore,0.0,0.0,12.010267706074531
ElasticNet_RobustScaler_baseline,0,OverallQual_x_TotalSF,-0.0,0.0,12.010267706074531
ElasticNet_RobustScaler_baseline,0,OverallQual_x_GrLivArea,-0.0,0.0,12.010267706074531
ElasticNet_RobustScaler_baseline,0,OverallQual_x_TotalBath,-0.0,0.0,12.010267706074531
ElasticNet_RobustScaler_baseline,0,KitchenQual_Ord_x_GrLivArea,0.001427991210514704,0.001427991210514704,12.010267706074531
ElasticNet_RobustScaler_baseline,0,ExterQual_Ord_x_GrLivArea,0.0,0.0,12.010267706074531
ElasticNet_RobustScaler_baseline,0,BsmtQual_Ord_x_TotalBsmtSF,-0.002831285468127253,0.002831285468127253,12.010267706074531
ElasticNet_RobustScaler_baseline,0,GarageFinish_Ord_x_GarageArea,0.0,0.0,12.010267706074531
ElasticNet_RobustScaler_baseline,0,GarageQual_Ord_x_GarageArea,0.006456685991310736,0.006456685991310736,12.010267706074531
ElasticNet_RobustScaler_baseline,0,MSSubClass__120,0.007931589237224151,0.007931589237224151,12.010267706074531
ElasticNet_RobustScaler_baseline,0,MSSubClass__160,-0.0065405128379335984,0.0065405128379335984,12.010267706074531
ElasticNet_RobustScaler_baseline,0,MSSubClass__180,0.0,0.0,12.010267706074531
ElasticNet_RobustScaler_baseline,0,MSSubClass__190,-0.0010957630287022136,0.0010957630287022136,12.010267706074531
ElasticNet_RobustScaler_baseline,0,MSSubClass__20,-0.0,0.0,12.010267706074531
ElasticNet_RobustScaler_baseline,0,MSSubClass__30,-0.012826007305598887,0.012826007305598887,12.010267706074531
ElasticNet_RobustScaler_baseline,0,MSSubClass__45,0.0,0.0,12.010267706074531
ElasticNet_RobustScaler_baseline,0,MSSubClass__50,-0.005953764297613412,0.005953764297613412,12.010267706074531
ElasticNet_RobustScaler_baseline,0,MSSubClass__60,0.0,0.0,12.010267706074531
ElasticNet_RobustScaler_baseline,0,MSSubClass__70,0.03048170172983629,0.03048170172983629,12.010267706074531
ElasticNet_RobustScaler_baseline,0,MSSubClass__75,0.010792906640404313,0.010792906640404313,12.010267706074531
ElasticNet_RobustScaler_baseline,0,MSSubClass__80,-0.0,0.0,12.010267706074531
ElasticNet_RobustScaler_baseline,0,MSSubClass__85,0.0,0.0,12.010267706074531
ElasticNet_RobustScaler_baseline,0,MSSubClass__90,-0.020491890608651874,0.020491890608651874,12.010267706074531
ElasticNet_RobustScaler_baseline,0,MSSubClass__Rare,0.0,0.0,12.010267706074531
ElasticNet_RobustScaler_baseline,0,MSZoning__C (all),-0.19931706809596855,0.19931706809596855,12.010267706074531
ElasticNet_RobustScaler_baseline,0,MSZoning__FV,0.05580804834296121,0.05580804834296121,12.010267706074531
ElasticNet_RobustScaler_baseline,0,MSZoning__RH,0.0,0.0,12.010267706074531
ElasticNet_RobustScaler_baseline,0,MSZoning__RL,0.009554841353598144,0.009554841353598144,12.010267706074531
ElasticNet_RobustScaler_baseline,0,MSZoning__RM,-0.023469707518040332,0.023469707518040332,12.010267706074531
ElasticNet_RobustScaler_baseline,0,Street__Grvl,-0.0336937069561545,0.0336937069561545,12.010267706074531
ElasticNet_RobustScaler_baseline,0,Street__Pave,0.03369386681657474,0.03369386681657474,12.010267706074531
ElasticNet_RobustScaler_baseline,0,Alley__Grvl,-0.0,0.0,12.010267706074531
ElasticNet_RobustScaler_baseline,0,Alley__NoFeature,-0.005862870578846066,0.005862870578846066,12.010267706074531
ElasticNet_RobustScaler_baseline,0,Alley__Pave,0.00682873371105698,0.00682873371105698,12.010267706074531
ElasticNet_RobustScaler_baseline,0,LotShape__IR1,-0.008210012643104402,0.008210012643104402,12.010267706074531
ElasticNet_RobustScaler_baseline,0,LotShape__IR2,0.0,0.0,12.010267706074531
ElasticNet_RobustScaler_baseline,0,LotShape__IR3,0.0,0.0,12.010267706074531
ElasticNet_RobustScaler_baseline,0,LotShape__Reg,0.0,0.0,12.010267706074531
ElasticNet_RobustScaler_baseline,0,LandContour__Bnk,0.008451927500833867,0.008451927500833867,12.010267706074531
ElasticNet_RobustScaler_baseline,0,LandContour__HLS,0.0023040976208651373,0.0023040976208651373,12.010267706074531
ElasticNet_RobustScaler_baseline,0,LandContour__Low,-0.007066054035663556,0.007066054035663556,12.010267706074531
ElasticNet_RobustScaler_baseline,0,LandContour__Lvl,-0.0036894574605042586,0.0036894574605042586,12.010267706074531
ElasticNet_RobustScaler_baseline,0,Utilities__AllPub,0.0,0.0,12.010267706074531
ElasticNet_RobustScaler_baseline,0,Utilities__NoSeWa,-0.0,0.0,12.010267706074531
ElasticNet_RobustScaler_baseline,0,LotConfig__Corner,0.014085640764064981,0.014085640764064981,12.010267706074531
ElasticNet_RobustScaler_baseline,0,LotConfig__CulDSac,0.040030839138155944,0.040030839138155944,12.010267706074531
ElasticNet_RobustScaler_baseline,0,LotConfig__FR2,-0.025109487779550476,0.025109487779550476,12.010267706074531
ElasticNet_RobustScaler_baseline,0,LotConfig__FR3,-0.0,0.0,12.010267706074531
