feature,pearson_corr_with_log_target,spearman_corr_with_log_target,abs_spearman_corr
OverallQual_x_TotalSF,0.8829194992137199,0.8953277714202125,0.8953277714202125
OverallQual_x_GrLivArea,0.83844517291456,0.8542325755051094,0.8542325755051094
OverallQual_x_TotalBath,0.829976574404499,0.8407687659574719,0.8407687659574719
KitchenQual_Ord_x_GrLivArea,0.8189532651448898,0.8331088019924178,0.8331088019924178
ExterQual_Ord_x_GrLivArea,0.8190805591640565,0.827257625602396,0.827257625602396
LuxuryQualityScore,0.7200533303577487,0.7581820293149616,0.7581820293149616
GarageFinish_Ord_x_GarageArea,0.7309428794614998,0.7480441395953468,0.7480441395953468
BsmtQual_Ord_x_TotalBsmtSF,0.7444630201236758,0.7291322527632619,0.7291322527632619
ExterQual_Ord,0.6822256806944528,0.6852281364863364,0.6852281364863364
BsmtQual_Ord,0.6168970887981796,0.6789460814150617,0.6789460814150617
KitchenQual_Ord,0.6699896856595265,0.6738247281281771,0.6738247281281771
KitchenQualityScore,0.6699896856595265,0.6738247281281771,0.6738247281281771
GarageQual_Ord_x_GarageArea,0.6575270575789811,0.6573754275063349,0.6573754275063349
GarageQualityScore,0.5248127321589573,0.6396019882454538,0.6396019882454538
GarageFinish_Ord,0.6056019699103187,0.6345421559523733,0.6345421559523733
BasementQualityScore,0.5463569876150557,0.6090209178056752,0.6090209178056752
ExteriorQualityScore,0.6043389755206656,0.5998657838474593,0.5998657838474593
FireplaceQu_Ord,0.5467908978451412,0.5380077887582344,0.5380077887582344
HeatingQC_Ord,0.4739380240179177,0.4914273263863364,0.4914273263863364
BsmtFinType1_Ord,0.33499995980807523,0.3616033049530668,0.3616033049530668
GarageQual_Ord,0.3632572742402465,0.351185035726032,0.351185035726032
BsmtExposure_Ord,0.3584104957622886,0.3445361113037643,0.3445361113037643
GarageCond_Ord,0.3567649215871791,0.33912145929515186,0.33912145929515186
LotShape_Ord,-0.2882119656916013,-0.3213544365830006,0.3213544365830006
BasementFinishScore,0.30338349399717407,0.32019772988632395,0.32019772988632395
PavedDrive_Ord,0.3046820311614197,0.28065830113427104,0.28065830113427104
BsmtCond_Ord,0.2745401048809694,0.26947282737542017,0.26947282737542017
Fence_Ord,-0.14570071189061443,-0.18594330922885757,0.18594330922885757
Functional_Ord,0.13627741083834272,0.13542158850223807,0.13542158850223807
PoolQC_Ord,0.08582530271482243,0.06368581566462357,0.06368581566462357
LandSlope_Ord,-0.03855243286832907,-0.050336227249871024,0.050336227249871024
BsmtFinType2_Ord,0.014064404265041923,0.03996800550642128,0.03996800550642128
ExterCond_Ord,0.04934172289364717,0.011806654475146831,0.011806654475146831
